"Speaker Name","Title","Date of Speech Delivered","URL to Speech"
"David Cameron","Free schools announcement: David Cameron's speech","9 March 2015","https://www.gov.uk/government/speeches/free-schools-announcement-david-camerons-speech"
"David Cameron","Prison reform: Prime Minister's speech","8 February 2016","https://www.gov.uk/government/speeches/prison-reform-prime-ministers-speech"
"David Cameron","PM statement responding to FAC report on military operations in Syria","26 November 2015","https://www.gov.uk/government/speeches/pm-statement-responding-to-fac-report-on-military-operations-in-syria"
"David Cameron","Diwali 2013: David Cameron's speech at reception","6 November 2013","https://www.gov.uk/government/speeches/diwali-2013-david-camerons-speech-at-reception"
"David Cameron","David Cameron's speech at business event in Mumbai","18 February 2013","https://www.gov.uk/government/speeches/david-camerons-speech-at-business-event-in-mumbai"
"David Cameron","EU meeting on Ukraine: David Cameron’s speech","6 March 2014","https://www.gov.uk/government/speeches/eu-meeting-on-ukraine-david-camerons-speech"
"David Cameron","David Cameron’s statement on the UK storms and flooding","11 February 2014","https://www.gov.uk/government/speeches/david-camerons-statement-on-the-uk-storms-and-flooding"
"David Cameron","Flood volunteers reception: David Cameron’s speech","7 April 2014","https://www.gov.uk/government/speeches/flood-volunteers-reception-david-camerons-speech"
"David Cameron","PM Bulgaria visit 3 December 2015: press conference","3 December 2015","https://www.gov.uk/government/speeches/bulgaria-visit-pm-press-conference"
"David Cameron","UK-France Summit press conference","17 February 2012","https://www.gov.uk/government/speeches/uk-france-summit-press-conference"
"David Cameron","Diwali 2013: David Cameron's speech at reception","6 November 2013","https://www.gov.uk/government/speeches/diwali-2013-david-camerons-speech-at-reception"
"David Cameron","Times CEO Summit 2015: PM speech","14 July 2015","https://www.gov.uk/government/speeches/ceo-times-summit-2015-pm-speech"
"David Cameron","Transcript of Prime Minister's Hunger Summit","12 August 2012","https://www.gov.uk/government/speeches/transcript-of-prime-ministers-hunger-summit"
"David Cameron","Transcript of Prime Minister's Hunger Summit","12 August 2012","https://www.gov.uk/government/speeches/transcript-of-prime-ministers-hunger-summit"
"David Cameron","Transcript: Speech at the University of Nottingham, Malaysia","13 April 2012","https://www.gov.uk/government/speeches/transcript-speech-at-the-university-of-nottingham-malaysia--21"
"David Cameron","Transcript: Speech at the University of Nottingham, Malaysia","13 April 2012","https://www.gov.uk/government/speeches/transcript-speech-at-the-university-of-nottingham-malaysia--22"
"David Cameron","David Cameron and Ahmet Davutoglu press conference in Turkey","9 December 2014","https://www.gov.uk/government/speeches/david-cameron-and-ahmet-davutoglu-press-conference-in-turkey"
"David Cameron","Unveiling ceremony for the Gandhi statue: David Cameron's speech","14 March 2015","https://www.gov.uk/government/speeches/unveiling-ceremony-for-the-gandhi-statue-david-camerons-speech"
"David Cameron","Global Dementia Legacy Event: David Cameron’s speech","19 June 2014","https://www.gov.uk/government/speeches/global-dementia-legacy-event-david-camerons-speech"
"David Cameron","David Cameron’s statement on G7 summit: June 2014","11 June 2014","https://www.gov.uk/government/speeches/david-camerons-statement-on-g7-summit-june-2014"
"David Cameron","Prime Minister David Cameron statement on Patrick Finucane","12 December 2012","https://www.gov.uk/government/speeches/prime-minister-david-cameron-statement-on-patrick-finucane"
"David Cameron","2012 New Year message from David Cameron","2 January 2012","https://www.gov.uk/government/speeches/2012-new-year-message-from-david-cameron"
"David Cameron","Prime Minister David Cameron statement on the EU budget","11 February 2013","https://www.gov.uk/government/speeches/prime-minister-david-cameron-statement-on-the-eu-budget"
"David Cameron","Chinese New Year 2014: David Cameron's speech","3 February 2014","https://www.gov.uk/government/speeches/chinese-new-year-2014-david-camerons-speech"
"David Cameron","Black History Month 2014: article by David Cameron","1 October 2014","https://www.gov.uk/government/speeches/black-history-month-2014-article-by-david-cameron"
"David Cameron","Unveiling ceremony for the Gandhi statue: David Cameron's speech","14 March 2015","https://www.gov.uk/government/speeches/unveiling-ceremony-for-the-gandhi-statue-david-camerons-speech"
"David Cameron","Prime Minister David Cameron statement on Patrick Finucane","12 December 2012","https://www.gov.uk/government/speeches/prime-minister-david-cameron-statement-on-patrick-finucane--2"
"David Cameron","David Cameron's speech at the Northern Ireland Investment Conference","11 October 2013","https://www.gov.uk/government/speeches/david-camerons-speech-at-the-northern-ireland-investment-conference"
"David Cameron","Reopening of the Imperial War Museum: David Cameron’s speech","17 July 2014","https://www.gov.uk/government/speeches/reopening-of-the-imperial-war-museum-david-camerons-speech"
"David Cameron","Emergency European Council on Ukraine: David Cameron’s statement","10 March 2014","https://www.gov.uk/government/speeches/emergency-european-council-on-ukraine-david-camerons-statement"
"David Cameron","David Cameron statement in response to the Leveson Inquiry report","29 November 2012","https://www.gov.uk/government/speeches/david-cameron-statement-in-response-to-the-leveson-inquiry-report"
"David Cameron","David Cameron's address to the United Nations General Assembly","26 September 2012","https://www.gov.uk/government/speeches/david-camerons-address-to-the-united-nations-general-assembly"
"David Cameron","Transcript: Press conference with Malaysian Prime Minister Najib Razak","12 April 2012","https://www.gov.uk/government/speeches/transcript-press-conference-with-malaysian-prime-minister-najib-razak"
"David Cameron","Strengthening the NATO alliance: article by David Cameron and Barack Obama","4 September 2014","https://www.gov.uk/government/speeches/strengthening-the-nato-alliance-article-by-david-cameron-and-barack-obama"
"David Cameron","David Cameron's address to the United Nations General Assembly","26 September 2012","https://www.gov.uk/government/speeches/david-camerons-address-to-the-united-nations-general-assembly"
"David Cameron","PM Davos Speech","26 January 2012","https://www.gov.uk/government/speeches/pm-davos-speech"
"David Cameron","Press Conference with Polish Prime Minister","18 April 2011","https://www.gov.uk/government/speeches/press-conference-with-polish-prime-minister"
"David Cameron","Speech given at BAE Systems by Prime Minister David Cameron","12 March 2015","https://www.gov.uk/government/speeches/speech-given-at-bae-systems-by-prime-minister-david-cameron"
"David Cameron","Strengthening the NATO alliance: article by David Cameron and Barack Obama","4 September 2014","https://www.gov.uk/government/speeches/strengthening-the-nato-alliance-article-by-david-cameron-and-barack-obama"
"David Cameron","David Cameron's 2013 Eid al-Adha reception speech","21 October 2013","https://www.gov.uk/government/speeches/david-camerons-2013-eid-al-adha-reception-speech"
"David Cameron","Joint press conference with President Barack Obama","20 July 2010","https://www.gov.uk/government/speeches/joint-press-conference-with-president-barack-obama"
"David Cameron","European Council December 2013: David Cameron’s press conference","20 December 2013","https://www.gov.uk/government/speeches/european-council-december-2013-david-camerons-press-conference"
"David Cameron","Press conference with PM David Cameron and Taoiseach Enda Kenny","11 March 2013","https://www.gov.uk/government/speeches/press-conference-with-pm-david-cameron-and-taoiseach-enda-kenny"
"David Cameron","Prime Minister David Cameron interview on Falklands referendum result","12 March 2013","https://www.gov.uk/government/speeches/prime-minister-david-cameron-interview-on-falklands-referendum-result"
"David Cameron","European Council March 2014: David Cameron’s press conference","21 March 2014","https://www.gov.uk/government/speeches/european-council-march-2014-david-camerons-press-conference"
"David Cameron","Tribute to Lady Margaret Thatcher by Prime Minister David Cameron","10 April 2013","https://www.gov.uk/government/speeches/tribute-to-lady-margaret-thatcher-by-prime-minister-david-cameron"
